"nume","stele","pret","moneda","oras","data_checkin","data_checkout","data_culegere"
"Noblesse Hotel",3,885,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Tantzi",2,623,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Aurelius Imparatul Romanilor",4,1468,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Cristal Sinaia",3,547,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Rizzo Boutique Hotel",4,1296,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Turnul",3,1200,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Mistral Resort",3,960,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Casa Wagner",3,683,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"SCHUSTER Boarding House",3,1260,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Bastion",3,1083,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Complex Hotelier COTA O MIE",3,1287,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Residence Hirscher",3,870,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Rainer",3,690,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Antler Boutique Hotel",3,484,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Teleferic Grand Hotel",4,3344,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"ALBERT RESIDENCE",3,991,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Orizont",4,911,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel boutique Garden Resort by Brancoveanu",4,635,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Safrano Palace",3,795,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Complex Turistic Max International",3,570,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Smart",4,1425,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Apollonia",3,627,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Rozmarin",4,960,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Bella Muzica",3,885,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Kolping",3,1020,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Bucegi",3,873,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Gott",3,966,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Cristal Sinaia",3,547,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Rizzo Boutique Hotel",4,1296,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Turnul",3,1200,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Mistral Resort",3,960,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Casa Wagner",3,683,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"SCHUSTER Boarding House",3,1260,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Bastion",3,1083,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Complex Hotelier COTA O MIE",3,1287,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Residence Hirscher",3,870,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Rainer",3,690,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Antler Boutique Hotel",3,484,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Teleferic Grand Hotel",4,3344,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"ALBERT RESIDENCE",3,991,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Orizont",4,911,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel boutique Garden Resort by Brancoveanu",4,635,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Safrano Palace",3,795,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Complex Turistic Max International",3,570,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Smart",4,1425,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Apollonia",3,627,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Rozmarin",4,960,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Bella Muzica",3,885,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Kolping",3,1020,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Bucegi",3,873,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Gott",3,966,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Nani Nani Boutique",3,963,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Casa Andreea",3,900,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Ave Lux",3,750,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Conac Bavaria",3,798,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Vila William’s",3,648,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Cabana FulgDe Nea",3,876,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"CASA CHITIC -HOTEL SI RESTAURANT Str Johann Gott nr7",3,1110,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Carpathia",4,950,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Elexus Predeal",4,1680,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Casa Mureșan",3,828,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Casa Leul Busteni",3,774,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Long Street Hotel",3,735,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Regina",4,748,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel boutique Vila LaKastel",4,1235,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Complex La Tunuri - Vila Economat",4,1161,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Complex Monterai",3,750,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Ana Hotels Sport Poiana Brasov",4,2150,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Cubix",4,891,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Casa Cranta",4,986,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Belfort Hotel",3,1251,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Vila Katharina",4,1749,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Brasov",3,933,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Stop Hotel",3,607,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Regal",3,1185,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Pension Brasovu Vechi",4,765,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Oasis",3,1020,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"HB Brilliant",3,795,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Belmont",4,3234,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Ana Hotels Bradul Poiana Brasov",4,2146,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel HP Tower One Brasov",4,1104,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Citrin - Adults Only",3,1080,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Belvedere",4,1320,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Apart Hotel Vlad Tepes",3,1007,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Garden Club",3,798,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Grand Hotel Belvedere",4,1500,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Regal Sinaia",3,1082,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Grand Hotel",4,759,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Qosmo Brasov Hotel",4,1902,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Ambient",4,1121,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Studio ApartCity",3,738,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Domeniul Dâmbu Morii",3,1182,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Jasmine",3,1104,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Golden Time Hotel",4,1098,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Boutique Belvedere",4,1999,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Serenity Resort",4,1783,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Kronwell Brasov Hotel",4,2064,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Apartament Alpin Poiana Brasov , etaj 8",4,3558,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Apartament ELDYA comfort&suites",3,1051,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Breaza",2,570,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Pensiunea Casa Nostalgia",4,1260,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Cheia",2,664,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Oscar",3,744,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"HOTEL ALL TIMES",2,497,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Seva Hotel Health Club",3,524,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Cumpatu",4,1003,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"PENSIUNEA MURY",3,480,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"HOTEL BULEVARD",2,414,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Wolkendorf Bio Hotel & Spa",4,1448,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Complex Verona Predeal",3,690,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Gura Diham",3,605,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Marami",3,510,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Miruna - New Belvedere",4,1353,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Eden Grand Resort",3,750,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Bulevard Predeal",3,702,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Silva Busteni",3,750,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Piatra Mare",4,1569,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Belvedere",3,720,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Marasesti",2,510,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Regina",3,706,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Radsor Hotel",4,975,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Bran Chalet",3,720,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Azuga Ski & Bike Resort",3,630,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Express",3,570,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Mara",4,1082,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Miraj",4,1050,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Pin Azuga",3,897,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Regal 1880",3,780,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Eden 5",3,600,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Pensiunea Raisa",3,510,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Astra",3,468,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Ruia",3,1050,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Aro Palace",5,1917,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Eden 1 & Eden 2",3,540,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel International",4,1701,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Vila Arizto",3,792,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Carmen",4,775,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Conacul Törzburg",4,1776,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Traveland Boutique Resort Poiana Brasov",3,577,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Princess Boutique",4,900,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Cabana Trei Brazi",3,610,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Esprit",4,876,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Alinalex - Paradisul Acvatic",3,960,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel City Center",3,784,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Arca lui Noe",4,899,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Vila Isabelle",3,570,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Paraul Rece",3,870,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel OHMA - Casa Viorel",4,1053,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Victoria Bulevard Hotel",4,1260,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Manor Ski Hotel (Cabana Schiorilor)",3,990,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Poiana Brasov - Alpin Resort Hotel - Apartament 2708",4,1900,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Pensiunea Baroc",3,600,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Vila Arizto",3,792,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Carmen",4,775,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Conacul Törzburg",4,1776,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Traveland Boutique Resort Poiana Brasov",3,577,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Princess Boutique",4,900,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Cabana Trei Brazi",3,610,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Esprit",4,876,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Alinalex - Paradisul Acvatic",3,960,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel City Center",3,784,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Arca lui Noe",4,899,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Vila Isabelle",3,570,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Paraul Rece",3,870,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel OHMA - Casa Viorel",4,1053,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Victoria Bulevard Hotel",4,1260,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Manor Ski Hotel (Cabana Schiorilor)",3,990,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Poiana Brasov - Alpin Resort Hotel - Apartament 2708",4,1900,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Pensiunea Baroc",3,600,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Boga Rooms",3,1374,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Conacul din Ardeal",3,798,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Lux Garden Hotel",5,1560,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Gema",3,635,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Ioana Hotel",5,1558,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Hera",3,1020,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Moviliţa Residence",5,4500,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Bianca House",3,497,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Apartament 2711 , Alpin Resort",4,3864,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Apartament 2706 Alpin Resort, etaj 7, Poiana Brașov",4,3702,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Excelsior Boutique Hotel Sinaia",3,750,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Iri",3,690,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Mountain Breeze",3,360,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Suru Hotel & Restaurant",3,945,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"HOTEL URSULETUL",4,1950,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Royal Boutique Hotel Poiana Brasov",3,871,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Cota 1200",3,1050,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"HOTEL MUNTENIA",3,465,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Atlantic Poiana Brasov",5,1035,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Vila Dolly",3,750,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Riviera",2,459,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Ski&Sky",4,990,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Soimul",3,726,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Mountain Breeze",3,360,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Suru Hotel & Restaurant",3,945,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"HOTEL URSULETUL",4,1950,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Royal Boutique Hotel Poiana Brasov",3,871,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Cota 1200",3,1050,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"HOTEL MUNTENIA",3,465,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Atlantic Poiana Brasov",5,1035,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Vila Dolly",3,750,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Riviera",2,459,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Ski&Sky",4,990,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
"Hotel Soimul",3,726,"RON","Prahova","2022-03-28","2022-03-31",2022-03-06
